year,AI Forensics,Blockchain Forensics,Computer Forensics,Database Forensics,Device Forensics,IoT Forensics,Knowledge Systematization,Multimedia Forensics,Network Forensics,Software Forensics
2002,0,0,1,0,0,0,2,1,2,1
2003,0,0,0,0,0,0,0,0,1,1
2004,0,0,3,0,0,0,3,1,1,0
2005,0,0,5,0,1,0,0,0,0,4
2006,0,0,8,0,0,0,5,1,0,1
2007,0,0,6,0,0,0,1,0,1,7
2008,0,0,9,0,1,0,0,1,3,3
2009,0,0,8,0,0,0,1,0,0,6
2010,0,0,10,0,3,0,0,0,2,1
2011,0,0,4,0,1,0,0,0,2,7
2012,0,0,5,0,2,0,0,0,1,6
2013,0,0,5,0,3,0,0,0,1,4
2014,0,0,6,0,3,1,3,4,4,7
2015,0,0,5,1,5,0,1,0,8,8
2016,0,0,11,1,2,0,1,1,5,8
2017,0,0,8,1,1,4,1,1,4,6
2018,0,0,5,1,6,1,3,0,3,10
2019,1,0,7,4,2,2,1,1,1,10
2020,1,0,9,0,2,6,1,1,3,3
2021,1,0,3,0,7,4,4,0,8,11
2022,2,2,5,0,2,3,2,2,6,13
2023,1,1,6,3,4,4,3,2,4,11
2024,2,0,7,0,8,4,3,3,3,10
2025,2,3,6,2,2,2,3,2,0,10
